Price,Close,High,Low,Open,Volume
Ticker,AMP,AMP,AMP,AMP,AMP
Date,,,,,
2022-12-27,299.3186950683594,301.6092167423932,297.55228058041723,299.7166255597491,291700
2022-12-28,295.58203125,300.628920865126,295.417053755744,299.25072198088463,275800
2022-12-29,303.113525390625,303.5599716545559,297.7075359260105,297.7366513428117,324500
2022-12-30,302.2012023925781,303.2397016218506,299.3186576577648,299.8330497664515,377500
2023-01-03,301.5120849609375,306.7918971638788,299.1633329953537,304.26845271676285,376200
2023-01-04,303.666748046875,306.918107812651,301.4150570835796,303.5599717726033,462300
2023-01-05,299.6583557128906,304.41406134535606,297.62990270541445,302.70590753949847,497800
2023-01-06,311.8193664550781,313.61489600353457,303.3949708273375,303.3949708273375,568200
2023-01-09,311.76116943359375,316.5071602353962,311.12060062484045,314.76989094660837,401200
2023-01-10,310.3537902832031,311.5475813981054,308.5388605137762,311.5475813981054,383400
2023-01-11,320.2729187011719,320.2729187011719,310.92648437831764,313.1684900637378,669400
2023-01-12,321.4181823730469,323.9124820995877,318.8365067758769,321.3696369317041,743400
2023-01-13,323.3689880371094,324.0483872926991,317.6718440832261,318.9626967450585,367300
2023-01-17,326.377685546875,326.88236263563465,323.07781001804113,323.6116025230958,572500
2023-01-18,318.53564453125,327.6297253444622,318.08916863207736,326.3971035440133,459500
2023-01-19,313.65374755859375,315.16780845565967,310.6159107526416,314.05164837809343,574300
2023-01-20,323.4368896484375,324.08717339664184,314.52721739622405,315.60451735020666,621000
2023-01-23,328.5614929199219,329.716454016831,323.11670170787346,324.31046362124033,585200
2023-01-24,330.958740234375,333.5986469130843,324.80543465936375,324.80543465936375,561300
2023-01-25,332.9095153808594,333.6665458121019,326.3000494106815,327.1249960663005,681600
2023-01-26,337.13140869140625,341.94537479371803,332.8998101612575,338.9560537893378,762400
2023-01-27,334.3071594238281,339.15992684400885,334.12275189234595,337.44202822114215,506700
2023-01-30,333.3462829589844,335.57857368755003,331.69635984893955,331.958398620227,537900
2023-01-31,339.8101806640625,339.95575776269635,330.46374588552595,334.09363605213343,597200
2023-02-01,344.09027099609375,346.26430097784015,337.6360972735814,339.334565601555,651000
2023-02-02,337.4710693359375,345.2354954986418,336.99550771153116,344.54641097000365,580200
2023-02-03,343.6729736328125,343.8573811530329,334.38477024927295,334.38477024927295,561100
2023-02-06,340.69329833984375,343.2458580677622,338.62601522578257,340.85830542088615,389300
2023-02-07,342.92559814453125,343.88646609076085,336.24821605391014,338.05343104687586,504500
2023-02-08,342.314208984375,345.0026313413153,338.88815653745445,340.1983799818958,435000
2023-02-09,339.19732666015625,347.60299668259444,338.67135550491963,344.73941888360133,388100
2023-02-10,340.638916015625,341.29148298184265,336.4506750007317,337.1324906639867,340800
2023-02-13,346.09332275390625,346.7751384178102,339.9473511102251,340.62916677412903,366300
2023-02-14,343.5706481933594,348.16795477544815,340.40513070869173,341.2427907920321,335200
2023-02-15,341.1940612792969,344.1940143946664,340.3174624115585,340.9603095077091,422000
2023-02-16,340.38568115234375,343.4537923330897,335.3111211499397,337.4246963019769,310700
2023-02-17,342.3434143066406,343.5706408465552,337.03507320999563,338.349986389597,511700
2023-02-21,331.6293640136719,340.2785068595896,329.35019498086734,338.311026683652,417900
2023-02-22,330.5189514160156,333.58706213349257,328.2884709799646,331.7851761271037,451900
2023-02-23,330.2754821777344,335.8662635715465,327.09049527198624,333.51893675288,415900
2023-02-24,330.957275390625,332.963723968154,325.07427494595726,327.49953867648,363900
2023-02-27,331.0059814453125,335.5351004719328,330.6942925930168,334.3955308343865,370600
2023-02-28,333.9571838378906,337.4343898029948,331.55138961999694,332.106579760499,633400
2023-03-01,334.3663024902344,337.0350676180357,332.86632593935406,333.06113889764964,348200
2023-03-02,332.0384216308594,334.18124531484307,327.8794294399964,331.9507647152807,535300
2023-03-03,335.963623046875,336.5382825762608,331.31762871482135,333.53835949121117,470700
2023-03-06,334.7948303222656,337.3661886875371,333.8110755225729,335.70064805751576,506500
2023-03-07,328.4638671875,336.7818522931356,327.26582978842396,334.2884007298334,544900
2023-03-08,328.21063232421875,333.1877861282019,326.86649998734123,329.20410722681623,743400
2023-03-09,307.3765869140625,328.8728915377186,306.11039188321513,326.6813795598249,832900
2023-03-10,293.94512939453125,304.4059389964152,293.03928168529126,303.05208680239537,1010500
2023-03-13,279.3642272949219,285.76344970822305,267.9391336066274,285.383573346351,1375800
2023-03-14,289.97113037109375,290.6431964543161,283.0654358649177,287.46795916072637,1293800
2023-03-15,276.16949462890625,279.53954493141185,270.9098715053674,278.05906744993945,926300
2023-03-16,280.59149169921875,283.66935264984,268.0755447885774,273.2085430790149,933800
2023-03-17,274.11431884765625,279.9388815484316,270.76373806166777,279.9388815484316,2111100
2023-03-20,280.3284912109375,281.0005573134776,275.3708073021998,276.58831404965855,757700
2023-03-21,294.12042236328125,294.41261210403405,287.96470088093554,289.21142664862566,1028100
2023-03-22,288.53936767578125,298.0943588510717,288.3445844185448,293.2340811222082,1096100
2023-03-23,289.4354248046875,296.4872138181607,288.32504447090184,288.5198574248485,1242100
2023-03-24,283.8641357421875,284.3316690342523,276.31559390313697,283.8543861764302,920000
2023-03-27,290.47760009765625,294.72424877393877,288.0523067818408,290.85744669335446,710000
2023-03-28,291.5685119628906,292.55223716904476,288.9971235315873,289.93219008348933,648300
2023-03-29,293.7989807128906,293.87688806026216,289.83477190344894,293.87688806026216,511100
2023-03-30,292.81524658203125,297.3151467499282,291.5587712999932,296.73073756821617,446300
2023-03-31,298.53265380859375,298.7566857503675,294.20806747335837,296.3313921023446,511800
2023-04-03,298.3085632324219,300.7338564037384,296.0781127159652,298.9611597980127,399000
2023-04-04,292.4256286621094,301.3377714177373,288.9873910628063,300.58776829590374,523900
2023-04-05,290.73089599609375,290.79908351581736,287.2244999295394,288.6173206789765,736300
2023-04-06,289.59124755859375,293.06845342885475,288.6854298115016,291.07172483526955,430800
2023-04-10,294.20806884765625,294.3541637128495,287.37056163803794,288.49066190356757,371400
2023-04-11,297.91900634765625,300.1494868822683,295.2697106538246,296.5748742326873,342400
2023-04-12,297.03271484375,301.3962702709703,295.0165460092535,300.09110644201945,529000
2023-04-13,300.3442687988281,301.3280236922864,295.3671158383427,297.1300631048103,307400
2023-04-14,301.3865051269531,305.56499691159894,299.92549692351076,304.19164563344856,381800
2023-04-17,303.5097961425781,303.5292952733319,296.57488273113637,299.5456169154752,586400
2023-04-18,307.42529296875,307.49348047255177,302.47732947360856,304.1234007837811,508800
2023-04-19,307.7565002441406,309.6947615590921,304.4935760733921,304.4935760733921,342900
2023-04-20,307.55194091796875,308.2726953700962,304.8149882438105,304.8149882438105,537600
2023-04-21,305.93505859375,308.155789401084,301.7468181345702,306.76296901091314,571200
2023-04-24,304.7760009765625,306.36363436616904,300.9481672941176,305.50650494913367,651900
2023-04-25,282.4713439941406,292.14321145570426,282.0038106543444,292.00683641832205,1292700
2023-04-26,284.90631103515625,287.0198859737962,281.0979465952585,281.13691513159245,882600
2023-04-27,294.5489807128906,295.133389905946,286.26993469675097,287.0101883229068,732000
2023-04-28,297.18853759765625,297.97747963275197,292.8444816215029,292.8444816215029,594200
2023-05-01,294.7145690917969,299.4969396309406,294.4418487426372,298.6593091743391,517400
2023-05-02,286.55242919921875,293.9840661753148,283.41613030889914,293.9840661753148,487600
