Price,Close,High,Low,Open,Volume
Ticker,CEG,CEG,CEG,CEG,CEG
Date,,,,,
2022-12-27,86.12321472167969,87.37123904181134,85.75961560924907,86.90937212793675,634400
2022-12-28,85.11104583740234,86.81110061892245,84.92433175836085,86.42785092841315,752000
2022-12-29,85.26826477050781,86.17234799095488,84.78674731976095,85.65152192215794,870800
2022-12-30,84.71794891357422,85.10119852173379,83.64681731573116,85.10119852173379,1343300
2023-01-03,80.49238586425781,84.62952242444459,79.39176702386808,84.51159656739668,4030600
2023-01-04,81.9664306640625,82.29071367164384,79.88311870499258,80.53169221750824,2612200
2023-01-05,80.98372650146484,82.46758740094616,80.46781122303636,81.48489448864503,1906300
2023-01-06,82.05485534667969,83.68612912355805,81.64212613711467,82.17278119113469,1914100
2023-01-09,82.54619598388672,83.73525338349629,82.13346680333156,82.39879056301669,1301500
2023-01-10,81.64213562011719,82.04503584843788,80.16809613129763,81.95659707783793,1376700
2023-01-11,82.65431213378906,82.91472518941053,81.01321655755298,81.56352226039792,1696200
2023-01-12,82.88032531738281,83.33237070212235,81.33749758314963,82.428287429996,1496700
2023-01-13,83.6861343383789,84.2217001911176,82.00572281392648,82.35949287198466,1366200
2023-01-17,81.92710876464844,83.54854603182933,81.56350969707269,82.47741438272914,2763600
2023-01-18,80.43342590332031,83.04739305600732,80.35480865872375,81.87798590903122,2084900
2023-01-19,79.44090270996094,80.37446560759659,79.35737470023906,80.18775152859885,1635500
2023-01-20,81.56351470947266,81.6617825048329,79.05764469234919,79.71605466570247,1795100
2023-01-23,82.68378448486328,82.83118992731801,81.12916351310987,81.49472691113898,1596200
2023-01-24,82.457763671875,82.77222509553482,81.54385898790244,82.5462024328957,1176000
2023-01-25,81.95658874511719,82.11381570931565,81.0623346140917,81.97623930413508,1535200
2023-01-26,84.3936767578125,84.58039083717976,81.8386763175086,82.18261738685379,2161100
2023-01-27,85.08155822753906,85.16017546365869,83.37166708002265,84.39366865752083,1455100
2023-01-30,80.9738998413086,85.34688043000341,80.82649440068191,84.43297569494052,3045800
2023-01-31,83.8826675415039,84.02024394935212,80.95423936583784,81.445585821682,2509000
2023-02-01,83.93180847167969,84.38384632906987,81.44067824430141,83.97602785507225,2623400
2023-02-02,83.85319519042969,85.17982923622975,82.30544922253581,84.00060063937471,2389600
2023-02-03,81.76004791259766,83.6861326327027,81.61264997253777,82.91962585763135,1807200
2023-02-06,81.81902313232422,82.39880841672614,81.08200336563193,81.57334987676012,1502000
2023-02-07,84.44280242919922,84.77691442134616,80.90510943704273,81.88780235138353,2032900
2023-02-08,82.88032531738281,83.52890630625481,82.68378971325036,83.28323305241288,2005900
2023-02-09,82.95893096923828,83.98093246213709,82.47741355823122,83.46010643632412,1975000
2023-02-10,85.30756378173828,85.49427782211144,82.71325526140716,82.75256387503052,1350300
2023-02-13,84.89484405517578,85.78909824582543,84.45263522294718,85.38619053425302,1173500
2023-02-14,84.57054901123047,86.08586129091302,83.67630236623913,84.43297260430873,2383100
2023-02-15,84.52142333984375,84.98820099499808,82.89997846115035,83.03755487535685,2030600
2023-02-16,84.14800262451172,86.3983705940405,83.4552097267612,83.5289087060901,3037600
2023-02-17,83.08668518066406,84.55089545811487,80.48254757496586,83.7254295484613,3570700
2023-02-21,78.9790267944336,81.57333531013411,78.51715995687265,80.19756382517743,5056000
2023-02-22,76.4535140991211,77.93737504757344,75.07774247702531,77.93737504757344,3341000
2023-02-23,77.84894561767578,78.07005005728712,76.6500588817438,76.6500588817438,1584900
2023-02-24,78.17635345458984,78.31442887619116,76.41105569069369,76.65760658247244,1529100
2023-02-27,77.28878021240234,78.99490825716617,76.91895385583871,78.32428949629865,1326200
2023-02-28,73.85677337646484,76.91400246761897,73.373535808374,76.73648555140306,3584800
2023-03-01,73.32422637939453,74.34987888954821,71.8252004178686,73.10726041245918,2594400
2023-03-02,75.12899017333984,75.67140516028245,72.97906603512347,73.10726979379339,1949900
2023-03-03,77.8903579711914,78.10731642713063,74.9514681464098,75.17829826852527,2304600
2023-03-06,77.71283721923828,77.79172777928072,76.28283765902229,77.27890528039543,2295000
2023-03-07,76.82525634765625,77.97911266979831,76.25325649553707,77.97911266979831,2203900
2023-03-08,76.99291229248047,77.36766693982463,76.0362936271656,76.67732745152324,1261600
2023-03-09,77.55503845214844,79.08365680429772,76.33214828491013,76.96331788891281,3110500
2023-03-10,76.48008728027344,78.67931695358494,76.17435906748591,78.09746047852072,2895700
2023-03-13,76.03629302978516,77.52053420417636,75.43470825579054,75.86864023024857,2242400
2023-03-14,76.85484313964844,78.00869949016607,76.10532633306488,76.43077531115016,2142800
2023-03-15,76.26313018798828,76.80553768191446,75.29664729874983,76.22368113902583,1957000
2023-03-16,77.34793853759766,77.94952325688594,74.98104870218386,75.56291266267014,1962900
2023-03-17,75.71084594726562,77.37753241446333,74.93668004520869,76.64774386796063,3896500
2023-03-20,75.93766784667969,77.34793912194058,75.84891314519714,75.99683764766804,1629500
2023-03-21,75.46429443359375,77.03236203424309,74.92188698049421,76.50967534207204,2045700
2023-03-22,73.39326477050781,75.2769171211515,73.37354401056152,75.21773979304098,1863400
2023-03-23,72.38733673095703,74.09346453298895,71.76602372487737,73.6398118363754,1655400
2023-03-24,72.42679595947266,72.505686530401,70.17825291908085,71.55893196203267,2777200
2023-03-27,74.23153686523438,74.38440473363202,72.42679011218381,72.42679011218381,3225500
2023-03-28,74.46823120117188,75.75029128505795,73.82127590222849,74.03429923707782,1752200
2023-03-29,74.83312225341797,75.50374096469223,74.38440535898111,75.23746931827765,2299500
2023-03-30,75.7601547241211,76.37160362020329,74.95146813208248,75.631950974163,1737800
2023-03-31,77.41697692871094,77.5155957766592,75.67139999520562,75.76015470111831,2984400
2023-04-03,75.56292724609375,77.4663006135848,75.42485933542699,76.92388559015336,1894900
2023-04-04,74.97119140625,75.90808930380223,74.0836142205446,75.61222522580972,1316200
2023-04-05,75.444580078125,76.05602905672848,74.63589337694586,74.83313109952152,1204800
2023-04-06,75.8982162475586,75.91794452998033,75.10925800579795,75.55304654652987,1223000
2023-04-10,76.26313018798828,76.30257923695075,74.81340961619898,75.47416425701255,1485500
2023-04-11,76.35188293457031,76.73650174685719,76.11026786159884,76.68719608002914,1371500
2023-04-12,75.75029754638672,76.87456906979997,75.60237302288748,76.85484830804558,1171100
2023-04-13,76.07573699951172,76.51952556259083,75.11911840553596,75.63194843643261,1324700
2023-04-14,75.37554168701172,75.57771523144294,74.45837203514972,75.2670586887382,1328400
2023-04-17,74.00471496582031,75.76508438219179,73.62996032717568,75.5234693289632,1093300
2023-04-18,73.45243835449219,74.90215114692644,73.14671015988998,74.3005664233957,1235200
2023-04-19,73.71871185302734,74.35974563483731,73.47511796256057,73.93567782756016,1039300
2023-04-20,75.41498565673828,75.51360450558298,73.6595445652408,73.7088502275952,1926900
2023-04-21,75.49388122558594,75.90314905842382,74.9120172457931,75.76015286099242,1178900
2023-04-24,76.22367095947266,76.26804831207762,74.55698460304157,75.3755353303888,1094300
2023-04-25,75.86863708496094,76.07573892123844,74.79367133574644,75.58263716130085,1722400
2023-04-26,74.81340789794922,75.90809452807129,74.4189249415215,75.45444176162721,3100600
2023-04-27,75.69111633300781,76.17435392661699,74.93174297162194,75.21773535672253,1865700
2023-04-28,76.3321533203125,76.40118726517503,75.24733096212886,75.83905156439852,2233400
2023-05-01,75.98698425292969,76.57870486031493,75.70098432913073,76.45049358722204,1788300
2023-05-02,75.73057556152344,76.3321603611593,74.90216062262473,75.67140575307938,2554000
2023-05-03,75.45442962646484,76.52938779760737,75.09939577519283,76.13490490462341,1607000
2023-05-04,77.50572967529297,79.26117823059224,73.87650800807366,75.91794895795232,3830400
2023-05-05,78.39331817626953,79.34007268250275,77.20001278224217,78.02842767778122,2359300
2023-05-08,77.62407684326172,78.74834823511335,77.00277134486021,78.63986524781754,2360100
2023-05-09,77.86077117919922,78.00870322396732,76.73649967757986,76.90416000785642,3158300
2023-05-10,78.35880279541016,79.0146290416844,77.65859919635403,78.74834987672168,1629400
2023-05-11,78.30635070800781,78.73192898824998,77.43539559443191,77.77190303856867,2497400
2023-05-12,79.02883911132812,79.56328677931413,78.04902216215488,78.63295111086417,1991000
2023-05-15,79.44451904296875,80.25608605548983,78.36573196879739,79.80081749245953,2048300
2023-05-16,78.18759155273438,79.36535642406892,77.52448341128405,79.36535642406892,3709100
2023-05-17,79.56328582763672,79.80081560469971,77.90056228632481,78.27665172925252,2329500
2023-05-18,80.56290435791016,80.63218419345677,78.74380087438225,79.44452016145468,2849300
2023-05-19,81.45364379882812,82.37902600133636,80.69155811952183,80.88950588405243,2407100
2023-05-22,82.67098999023438,83.09656824289198,81.46353506172048,81.87922158940901,1908300
2023-05-23,83.17574310302734,83.69039215974976,82.30974150352353,82.50273584366127,2232200
2023-05-24,82.45325469970703,83.50235901262863,81.70107581987392,83.17575085244732,2430300
2023-05-25,81.89901733398438,82.34438661331158,81.05776005584656,82.34438661331158,1863100
2023-05-26,82.98770141601562,83.08667152529928,81.46353757005423,82.09695533059204,2267100
2023-05-30,82.83924865722656,84.17041824657551,82.28006410013245,82.99760688464373,2198200
2023-05-31,83.15595245361328,83.68050838651202,81.60209830946694,82.67099362607263,5214700
2023-06-01,87.96597290039062,88.2450781234888,83.91803727775819,84.00216224841904,3646900
2023-06-02,86.6397476196289,88.13422103315276,86.37252004620439,87.74823236125914,3225600
2023-06-05,86.61006927490234,87.8966958414594,86.28346110725543,86.91687888945427,1819000
2023-06-06,88.62909698486328,88.96559689975429,86.24387709626636,86.24387709626636,2311500
2023-06-07,89.87612915039062,89.9454089850085,88.21340556862586,88.62909212726879,2452100
2023-06-08,91.3508071899414,91.51707878466686,90.12355367991736,90.54913194287477,3075700
2023-06-09,92.33062744140625,92.80568700039377,91.14296344206635,91.35081049392588,2530100
2023-06-12,92.78589630126953,93.05311636020554,91.92484046525695,92.04360913085938,1720700
2023-06-13,93.2807388305664,94.34963398960244,92.6275226052885,92.99372026651407,2429900
2023-06-14,92.2415542602539,94.02304658433141,91.81597595788739,93.55787872465918,2573200
2023-06-15,92.4988784790039,92.78589709345862,92.00402036117212,92.75620681453842,3712300
2023-06-16,91.93473815917969,93.54797286342992,91.78627921746619,92.62753648592876,4963400
2023-06-20,91.04398345947266,92.39989725766584,90.94501335799123,92.1722592284173,1846900
2023-06-21,89.5693130493164,90.09881482273083,88.26783387434479,89.94540247417027,2684900
2023-06-22,88.33216857910156,89.75240887328982,86.96140956307998,89.56931379729626,3205600
2023-06-23,89.43075561523438,89.76725549569683,88.20350965276056,88.71815874962529,2875900
2023-06-26,89.69798278808594,90.2621207596738,88.76765462937536,89.32189332400598,1890400
2023-06-27,89.91571044921875,90.07901451959404,89.05466223388446,90.03447910520123,1472800
2023-06-28,89.61881256103516,89.9652117503425,88.78744695576152,89.9652117503425,1605400
2023-06-29,89.93550872802734,90.4056223862634,89.21301262046053,89.57921031209507,1738700
2023-06-30,90.60851287841797,91.34090068545558,90.10375554812565,91.10337093334995,2666400
2023-07-03,90.65800476074219,90.79656442826047,89.40106847655908,90.0740758120488,1089100
2023-07-05,91.19245147705078,92.25144752542366,90.41057476082251,90.47985459385866,2087300
2023-07-06,90.06417846679688,90.5293463109839,88.92600327268867,90.5293463109839,2263300
2023-07-07,90.39078521728516,90.76687466684413,89.72767715453554,90.06417704873006,1334000
2023-07-10,92.63743591308594,92.66712619128988,90.44026471476889,90.44026471476889,1539300
