Price,Close,High,Low,Open,Volume
Ticker,CHTR,CHTR,CHTR,CHTR,CHTR
Date,,,,,
2022-12-27,332.7900085449219,339.510009765625,331.6300048828125,336.8500061035156,1373800
2022-12-28,332.3399963378906,335.8900146484375,330.0,332.0,1053000
2022-12-29,338.94000244140625,342.1099853515625,333.79998779296875,336.5799865722656,1289700
2022-12-30,339.1000061035156,339.8699951171875,334.9800109863281,336.29998779296875,1202000
2023-01-03,341.5799865722656,345.5299987792969,337.17999267578125,342.05999755859375,1524100
2023-01-04,354.0,355.92999267578125,345.2099914550781,347.010009765625,1643200
2023-01-05,361.42999267578125,365.8800048828125,355.3699951171875,362.3999938964844,1490400
2023-01-06,367.7300109863281,370.2900085449219,360.7900085449219,367.07000732421875,1086000
2023-01-09,367.17999267578125,369.0799865722656,363.5400085449219,365.0,1073500
2023-01-10,374.6400146484375,374.6400146484375,366.69000244140625,367.17999267578125,1114800
2023-01-11,378.42999267578125,379.69000244140625,372.2200012207031,377.29998779296875,848600
2023-01-12,385.4700012207031,388.57000732421875,377.760009765625,380.6099853515625,1207700
2023-01-13,388.4700012207031,389.9599914550781,383.6700134277344,383.9700012207031,780700
2023-01-17,388.3500061035156,390.9800109863281,383.7699890136719,385.8900146484375,908000
2023-01-18,381.8599853515625,390.9800109863281,381.25,386.29998779296875,1166200
2023-01-19,384.20001220703125,385.010009765625,373.8500061035156,379.0899963378906,1317200
2023-01-20,396.1099853515625,400.1499938964844,382.44000244140625,382.79998779296875,1999900
2023-01-23,396.010009765625,400.95001220703125,390.6400146484375,397.17999267578125,1551600
2023-01-24,392.0299987792969,398.25,390.8800048828125,395.0,1206600
2023-01-25,403.760009765625,406.1000061035156,387.0299987792969,390.70001220703125,1190200
2023-01-26,410.3900146484375,412.6499938964844,401.4200134277344,401.42999267578125,1843000
2023-01-27,394.4100036621094,410.94000244140625,393.92999267578125,405.0,2662100
2023-01-30,390.94000244140625,395.760009765625,387.8500061035156,392.0199890136719,1364500
2023-01-31,384.30999755859375,393.010009765625,381.94000244140625,390.2300109863281,1731600
2023-02-01,398.67999267578125,401.510009765625,380.2799987792969,381.2300109863281,1590000
2023-02-02,412.25,415.2900085449219,399.75,404.82000732421875,1165300
2023-02-03,406.29998779296875,408.9800109863281,402.3800048828125,405.8599853515625,832700
