Price,Close,High,Low,Open,Volume
Ticker,CLX,CLX,CLX,CLX,CLX
Date,,,,,
2022-12-27,135.07177734375,135.64300490533563,134.22897485069137,134.85638638736654,670300
2022-12-28,133.311279296875,135.9426671006904,133.13335383730208,135.4369970003992,531100
2022-12-29,133.36749267578125,134.22901388513415,132.8243569437939,133.64842692183115,683300
2022-12-30,131.41030883789062,133.48920174907516,130.174204171173,133.30191706018317,789600
2023-01-03,133.21763610839844,133.4985703058095,129.59362639962546,131.41031801545597,1420300
2023-01-04,134.5847930908203,135.24965568660616,133.27378636046677,133.47978945617803,884400
2023-01-05,133.04908752441406,134.57548574741253,132.45912712383776,134.32264353446453,952800
2023-01-06,135.25906372070312,135.9801247508444,133.80758242742328,133.85440717022044,748400
2023-01-09,133.5922088623047,135.93330316752284,133.4985593745337,134.97813269010024,915400
2023-01-10,132.0189971923828,134.07915749693092,131.71934452627556,133.92933830833073,852700
2023-01-11,132.92735290527344,133.5641380876639,131.56952085036443,132.31867400480292,1088000
2023-01-12,133.74203491210938,133.90122760136938,131.74741810220135,132.89923243561498,1016900
2023-01-13,136.8229217529297,136.86037297622948,133.6671310726165,133.6671310726165,1160400
2023-01-17,138.58343505859375,139.90380149600114,137.20687035054814,137.44097980036668,1529800
2023-01-18,134.21029663085938,138.09650848824117,134.08855512238839,138.09650848824117,1334100
2023-01-19,130.90463256835938,133.64840272730217,130.8952733344521,132.96480714049665,1372500
2023-01-20,133.49856567382812,133.6203071558938,129.93074007054835,131.1106465120476,1105600
2023-01-23,133.77951049804688,134.74404033088476,132.84307265731826,133.9574359740105,1024300
2023-01-24,133.1185302734375,134.74261909105257,132.73140404749668,134.4687966963224,896100
2023-01-25,133.58120727539062,133.6284220061719,130.06864454237547,131.58886666288961,1327800
2023-01-26,133.96835327148438,134.01555359624635,132.71251630346606,133.45845721125048,1206200
2023-01-27,132.66531372070312,133.09966913001858,130.0214469357894,133.09966913001858,1451400
2023-01-30,134.22328186035156,134.7520666754091,132.99578530430017,133.1374150891021,1327400
2023-01-31,136.62164306640625,136.86713948020687,134.04388029380766,134.58208784926993,1786700
2023-02-01,136.35728454589844,136.98992168080127,133.9400398489816,136.0645733469942,1273700
2023-02-02,133.13742065429688,135.65853178454563,131.9287984137562,134.99756874798643,1905500
2023-02-03,146.13955688476562,148.97226773668558,140.00201670560574,144.46825344791736,5175500
2023-02-06,144.062255859375,147.3009820750992,142.64590026249905,145.80908578410683,2168400
2023-02-07,143.2313232421875,144.26997537290612,142.1832195197177,143.08024185331104,1629300
2023-02-08,142.51370239257812,143.88285775046887,142.22099118902855,142.53259116929863,1160100
2023-02-09,141.72052001953125,143.74118651125193,141.57889024054407,142.5892162824482,1085100
2023-02-10,142.11709594726562,142.6553179161925,141.18231060236857,141.71108098087848,1205200
2023-02-13,144.36441040039062,144.45883987405213,142.11712148006285,142.26820287475536,886700
2023-02-14,144.1566619873047,145.03480989506195,142.89138785707405,144.4682619282564,1014000
2023-02-15,145.1575469970703,145.33695432865488,142.72141385811153,143.70342838639144,1039300
2023-02-16,144.1566619873047,144.78929905242,142.93860258896007,143.70343225860825,795200
2023-02-17,145.06314086914062,145.30863731235894,143.42016323491825,144.14722978894878,1041000
2023-02-21,145.80906677246094,146.33783715441677,144.0338967119701,144.14721494232657,1144300
2023-02-22,145.8468475341797,147.74475864152603,145.7807440310216,146.23397373870336,1067100
2023-02-23,144.72320556640625,146.76274648766233,144.15665761677727,145.71465727430058,694400
2023-02-24,145.44082641601562,145.94127088184248,143.89227828615427,143.89227828615427,1086600
2023-02-27,146.41339111328125,147.1310204749244,145.5163688191409,145.6863245682162,781100
2023-02-28,146.77220153808594,147.61257189149927,145.65799438632922,145.76186103261236,1225600
2023-03-01,146.06402587890625,146.73442608985468,144.34550759906344,146.00737396337973,989300
2023-03-02,147.75418090820312,148.12243271000239,145.9129218992069,146.18675865905655,820100
2023-03-03,147.14044189453125,148.10356759318157,146.72497534186203,148.10356759318157,846200
2023-03-06,143.55235290527344,147.2348715177302,143.37294556632312,146.58336007699822,1715100
2023-03-07,143.40126037597656,145.16699326234607,142.91026753776208,143.9017048047148,1448600
2023-03-08,142.77809143066406,143.7412028530972,141.7583136822813,143.54292113997263,1237700
2023-03-09,141.03125,143.60901317873694,140.6252205659176,143.60901317873694,1010100
2023-03-10,141.75831604003906,142.80641976487195,140.3891607611413,141.58834587519127,997300
2023-03-13,142.84417724609375,145.31807366282646,141.45614765449895,142.1171106962313,1092300
2023-03-14,145.21420288085938,145.42193617490915,142.7686324920801,142.99525456047436,1009200
2023-03-15,147.62200927734375,147.6408980515793,144.46826115192636,144.7515351338069,1130000
2023-03-16,146.22454833984375,148.08469645808546,145.7901929627069,147.3954074542839,1070900
2023-03-17,145.40306091308594,146.76275009133877,144.52491301038984,146.41338701163977,1995400
2023-03-20,147.7258758544922,148.08469052523347,145.53525350533064,145.79963871285165,957900
2023-03-21,147.99026489257812,148.32075361449031,146.9610499932375,147.34819063138298,1063600
2023-03-22,146.01681518554688,148.79287438644084,146.01681518554688,148.3301930503206,795100
2023-03-23,145.98849487304688,147.00827264391154,145.28975425007079,145.84686507483553,656300
2023-03-24,148.71731567382812,148.85894544940027,146.0073603098591,146.97992318988673,740700
2023-03-27,148.96282958984375,150.13368870115454,148.71733314737006,149.1800144817886,845900
2023-03-28,147.85804748535156,149.88816539332063,147.4614697303226,149.47269886674422,1016000
2023-03-29,146.82884216308594,148.33962700960086,146.49835347543828,148.2168715985468,1397000
2023-03-30,145.8279571533203,146.8854979288918,145.51635723025103,146.8194088343748,1464500
2023-03-31,149.4160614013672,149.51047645240737,146.29062496814646,146.46059511267893,1052700
2023-04-03,148.00917053222656,149.1800297634777,147.0177186614324,149.0856002870534,1838300
2023-04-04,147.20652770996094,149.34994951828781,147.1121126642185,148.76452724778468,1089500
2023-04-05,148.64178466796875,149.79375494399298,147.31040705926506,147.97138447606582,1165900
2023-04-06,148.96282958984375,149.98260731751822,148.31131813775045,149.01004432321932,679500
2023-04-10,149.13278198242188,149.18943389255818,147.423715456387,148.42460428989392,508400
2023-04-11,150.237548828125,150.690778551441,149.16111923030377,149.56713422229427,778300
2023-04-12,148.46240234375,150.6058246981214,148.16025394932433,150.45474329695085,779100
2023-04-13,150.0864715576172,150.41696027802524,147.14989384694448,148.19799751623057,861900
2023-04-14,149.40663146972656,150.53971310185617,148.7645571610885,149.39719428562825,610100
2023-04-17,149.32162475585938,150.23753571355246,148.84006911736674,149.81263198453993,669900
2023-04-18,151.54058837890625,152.1354478407385,148.86839616809797,149.13278135289275,1110500
2023-04-19,151.58779907226562,151.93717655372734,150.7946434636027,151.93717655372734,621800
2023-04-20,153.85397338867188,153.9861659874608,151.94661068507816,152.25821061249044,1049200
2023-04-21,156.0446014404297,156.54504589781996,154.85486800722293,154.9776234277609,1551800
2023-04-24,156.0068359375,156.91329537538437,155.34587292906076,155.79910264800296,1036400
2023-04-25,156.82472229003906,158.24176113979652,155.9783068122584,156.52990553542128,1084800
2023-04-26,155.43621826171875,157.34778177250254,154.84658478816993,155.19846095637755,964700
2023-04-27,158.05154418945312,158.31783120304553,155.55033276368837,155.65494655556782,1154800
2023-04-28,157.50946044921875,159.04061812906264,156.94835667197003,158.24175703824534,2356500
2023-05-01,158.9359893798828,160.45764184820527,157.56650506070326,157.69014349582608,1636100
2023-05-02,159.50662231445312,159.93458256214873,157.9944893338699,158.85991489732396,1751800
2023-05-03,167.01023864746094,169.48292037585793,159.74437612882926,160.7619698283749,4164800
2023-05-04,162.6640625,167.6094269986425,162.21709203178315,166.83908099347087,2395300
2023-05-05,161.29457092285156,164.35688635076121,160.61933375218982,162.2075509008235,2174000
2023-05-08,159.0216064453125,161.26603604402803,158.02302283572786,160.46716044942752,2593300
2023-05-09,159.8965606689453,160.49569925939906,157.3477946018655,159.68733306226133,1553200
2023-05-10,160.27694702148438,162.09341624346334,159.83948172385246,159.83948172385246,1215800
2023-05-11,160.9617156982422,161.19947303309925,159.48761731981708,160.9522106290081,922600
2023-05-12,160.8475799560547,161.51329752154163,159.27837300359846,160.62883278260182,925500
2023-05-15,158.8694305419922,161.5513253362649,158.5080348027961,161.18994410862274,1033200
2023-05-16,160.73345947265625,161.03779581932235,158.02303462899548,158.8599305592158,927300
2023-05-17,158.8028564453125,160.83805841298957,158.29881211534254,160.57177139004523,795700
2023-05-18,157.97547912597656,158.46049884949105,156.83424685728886,157.889889970925,906500
2023-05-19,158.2132110595703,158.81236407187663,156.99589490014557,158.2322357059357,923200
2023-05-22,154.84658813476562,158.63168045436717,154.6373605406191,157.6045671317083,1044100
2023-05-23,152.4024658203125,154.83709883387672,152.27882735098765,154.33305439801651,1131200
2023-05-24,151.83181762695312,152.9064853491204,151.2326790528319,152.9064853491204,1049700
2023-05-25,150.58596801757812,151.61308134934222,150.19604254216168,151.61308134934222,816100
2023-05-26,151.29922485351562,152.15515980032853,149.94876519420097,150.51938849207625,834300
2023-05-30,149.25454711914062,150.6525614115295,148.5888294826593,149.26405218839173,1141700
2023-05-31,150.4337921142578,151.45140032531762,149.121381684162,150.14849496307653,1769700
2023-06-01,150.8522491455078,151.99349581052624,150.1484968151745,151.20413982222863,952800
2023-06-02,153.46759033203125,153.49612004951837,150.07242334706547,150.07242334706547,911400
2023-06-05,154.35203552246094,155.41718353763366,153.05863528479975,153.05863528479975,895000
2023-06-06,150.814208984375,154.8275532816684,149.67297687160448,154.68489019785105,894600
2023-06-07,149.08334350585938,150.35773375955975,148.37959113173247,148.95971956831428,1230500
2023-06-08,149.71102905273438,150.1104596130472,148.58882145636335,149.5778855326301,836800
2023-06-09,148.98826599121094,150.29117159669292,148.493726650914,148.8551224586183,928900
2023-06-12,148.11329650878906,149.8726918655303,147.16226728518157,149.8726918655303,981100
2023-06-13,148.71243286132812,149.11186338797327,146.22074097587554,147.2002999008384,1268100
2023-06-14,146.4014434814453,149.1023630394235,145.9164092818028,148.8741107977356,2311200
2023-06-15,147.37149047851562,148.084762374941,146.35388227406958,147.12421360036035,1655600
2023-06-16,148.87411499023438,149.50179778888665,147.49512545614436,147.6187639044848,1621400
2023-06-20,147.85650634765625,150.16750026719296,147.84700128010735,148.9882333827756,949800
2023-06-21,148.5983123779297,149.3971734225005,147.67581289376318,148.50320365338624,812300
2023-06-22,149.159423828125,150.1675125095251,148.64587441910115,149.50179493799246,707400
2023-06-23,148.4936981201172,150.01535063871933,148.44614375799452,149.82513319022863,1536200
2023-06-26,149.1309051513672,149.29257839416803,147.0101138337899,148.48421218016384,903000
2023-06-27,151.7081756591797,151.9269083027343,149.11185560418545,149.39716725448247,945100
2023-06-28,149.25454711914062,150.74765563870903,148.84559695644458,150.68109113083895,974800
2023-06-29,150.17701721191406,150.49085857416435,147.33343481689724,148.06573132881456,909800
2023-06-30,151.25167846679688,151.67013363909086,150.22457969496222,150.51939642683644,764600
2023-07-03,152.48802185058594,152.48802185058594,150.1580031608628,150.95686422393,543000
2023-07-05,152.10760498046875,152.36438691489178,150.84273446619275,151.71767954515107,1126600
2023-07-06,152.02203369140625,152.6021621230473,151.24218272919325,152.15517720793594,783300
2023-07-07,150.2531280517578,152.09811274973708,149.9963460711638,151.66064738737555,870000
2023-07-10,148.78851318359375,151.7081797489077,148.68389939271646,150.2245765412324,791100
2023-07-11,147.2668914794922,149.02628696047316,146.1161396525829,148.84558907337907,1373400
2023-07-12,147.73289489746094,147.9611471643098,145.3458164668356,146.81991485317775,1022000
2023-07-13,146.99105834960938,148.07523096509357,146.2302321518979,147.40951348392832,798500
2023-07-14,146.99105834960938,147.4760924878212,145.726187879619,146.88644456602964,896300
2023-07-17,145.99249267578125,147.40953146043145,145.68817086651643,146.57262108973288,582600
2023-07-18,146.4775390625,148.03722655760453,145.50748509860702,145.63112355317293,903600
2023-07-19,147.1622772216797,148.35106383145674,146.487040042242,147.0576634195571,798100
2023-07-20,147.0291290283203,147.2383566259149,142.39760667599077,144.5564471539596,1237300
2023-07-21,148.15135192871094,148.43666363784521,146.8579514239843,147.1717928528764,912800
2023-07-24,147.5617218017578,148.39861778670092,146.5060786115116,148.15135537253357,1079500
2023-07-25,145.5169677734375,147.91356534006403,144.97488869367817,147.91356534006403,1199700
2023-07-26,146.1541748046875,146.26830818772234,144.9653881882586,145.50748185089677,871700
2023-07-27,143.4627685546875,146.2778070158217,143.1299025116664,145.62159450970017,1298000
2023-07-28,146.35389709472656,147.61876779386225,144.01435865245224,144.9558828752374,2058900
2023-07-31,144.06190490722656,146.63920052725874,143.55786057201715,146.07809675961875,2768100
2023-08-01,144.2901611328125,145.43139334760053,143.84317621769097,144.40428000082483,1344500
2023-08-02,145.00343322753906,146.6296851445779,143.95729523118575,144.02387424529687,1320600
2023-08-03,157.99447631835938,160.8570688173131,153.4295335253705,154.0191669508861,4284300
2023-08-04,155.9783172607422,157.79478678794078,153.85752588991087,157.70919762987745,2478600
2023-08-07,155.72152709960938,157.30022454959493,155.150903772542,156.55842293133978,1296400
2023-08-08,155.2904052734375,156.89993774870615,154.55271689851804,156.6700003611847,1332700
2023-08-09,156.07601928710938,157.19693668123662,155.1467090800764,155.40538682293385,976000
2023-08-10,153.75753784179688,157.35022739984726,153.5659160370812,156.85203702123073,868900
2023-08-11,154.23654174804688,155.52990103854637,153.47009849144206,154.11199051597544,793400
2023-08-14,153.45094299316406,155.61613180628714,153.09646899500993,155.3287283584271,790200
2023-08-15,150.9983367919922,153.13478526992927,150.69175362131034,153.13478526992927,1090700
2023-08-16,150.22232055664062,151.84142823236326,149.35049109760683,151.4581992631059,1043200
2023-08-17,147.70265197753906,151.04625366968946,147.5685254848887,150.0882031168466,1341300
2023-08-18,147.3960723876953,147.99005900808908,145.62367314990786,147.2236156993515,1036600
2023-08-21,143.77464294433594,146.47633770361634,142.7112063238758,146.2272498408626,1384600
2023-08-22,144.09078979492188,144.62731035626916,141.79147443533856,143.50637840337995,942100
2023-08-23,144.64645385742188,146.14101023086377,143.97582146147872,144.25366428038433,1442700
2023-08-24,147.89425659179688,148.4307625530659,144.4261183288141,144.45485867540415,1470800
2023-08-25,148.0475311279297,148.58403702738215,146.78291216760454,148.34452442093448,746400
2023-08-28,149.03431701660156,150.03069761326157,148.25829853611359,148.49781113471798,821600
2023-08-29,150.50015258789062,150.57679838368747,148.38286912642957,149.16846295063837,966300
2023-08-30,150.47140502929688,152.0617723237965,150.20315206621143,151.0175008161645,862400
2023-08-31,149.88699340820312,150.82587877745186,148.91936769429196,150.183986715508,1099400
2023-09-01,148.72775268554688,150.23188424547382,148.28704305946573,149.97320653845466,1165600
2023-09-05,147.02243041992188,149.4079667157873,146.73501235740954,148.84272045135003,997700
2023-09-06,147.15655517578125,148.1433459711829,146.1985047244251,147.06074428316973,871700
2023-09-07,149.18763732910156,150.4043656576467,147.67391566006162,147.80804215637193,1006900
2023-09-08,148.21041870117188,150.31812700933276,147.67391272658816,149.4654625957212,801700
2023-09-11,147.7888641357422,148.89063097650293,147.35774433661425,148.42118097109804,748100
2023-09-12,143.32437133789062,148.05712888120203,142.54833809530712,147.9996481859051,1345100
2023-09-13,141.1687469482422,143.5638731969827,140.79510783818628,143.44889719633363,1268100
2023-09-14,143.18064880371094,143.31477529318104,141.3603586439464,141.45615492574453,1083800
2023-09-15,140.0669708251953,142.94112213331297,139.53046492000368,142.6153884935451,1703800
2023-09-18,136.71380615234375,140.0669829692063,136.34975689579412,140.0669829692063,2421400
2023-09-19,132.63250732421875,136.04316460490054,132.2301278873766,135.21924062888382,2519600
2023-09-20,130.73558044433594,132.99658025719864,130.5918640950633,132.17265622491755,1573100
2023-09-21,128.97276306152344,131.67447268602325,128.67576972380002,130.55355527331318,1730300
2023-09-22,127.09498596191406,129.63381400183093,126.22315647700266,129.14521349755188,1617200
2023-09-25,126.5201644897461,128.74284897940268,126.36687287969546,126.94170910803908,1490900
2023-09-26,124.93936157226562,126.46265826561596,124.80523509521635,125.79202588036955,1310500
2023-09-27,123.73222351074219,125.3896614987607,123.44482003877722,125.10224340810439,1499200
2023-09-28,123.22445678710938,124.31663382691625,122.97536890739595,124.12502664108352,1352000
2023-09-29,125.5621109008789,126.06030131247633,121.95984586159445,123.85678198059122,2803000
2023-10-02,124.8722915649414,126.64469073669102,124.57529826581022,126.46265881304554,2138700
2023-10-03,124.78608703613281,126.32854904221003,124.3741323070354,124.74777144546694,1589200
2023-10-04,126.29979705810547,126.56805002412631,124.74775995202917,124.88188643503959,1594500
2023-10-05,119.68925476074219,121.52871005107835,114.5445207078206,120.7143685505036,7595500
2023-10-06,119.75631713867188,121.92151339915581,117.93601965629496,120.15869661001489,3530200
2023-10-09,117.94559478759766,120.15868905009032,116.78635458775173,118.8174169206558,2090500
2023-10-10,118.77911376953125,119.69884144646107,118.108473979928,118.38630952441916,1559400
2023-10-11,117.22705841064453,119.39225456225077,116.35522895722941,118.69287448921749,1491000
2023-10-12,115.0522689819336,118.24257856691234,114.49660530525554,117.67733233962164,1777400
2023-10-13,117.31328582763672,117.74441295671582,114.87026133357067,115.16725466230508,1237600
2023-10-16,119.7179946899414,120.03415312261848,117.13126115376389,117.64860932286851,1725600
2023-10-17,118.83659362792969,120.13954298840372,118.15637860007638,119.23897311324926,1242200
2023-10-18,119.43058776855469,121.25087800718532,118.60666369220058,119.57428950682336,1267700
2023-10-19,118.78868103027344,120.7814278510534,118.45336481267714,119.68925085125666,1144800
2023-10-20,117.64860534667969,119.51680091418534,117.27496623317856,119.51680091418534,1133300
2023-10-23,116.87258911132812,118.43421624678513,116.84384876320122,117.39951985814109,1131400
2023-10-24,117.6756591796875,117.99495110806171,116.795168484273,117.15317141240203,1543200
2023-10-25,118.01431274414062,118.88512573489469,116.26301639415126,117.40473995963244,1875700
2023-10-26,117.2789535522461,119.05928307493502,117.23057956609433,117.98528166409712,1253100
2023-10-27,114.10533142089844,117.15317308253348,113.48608829127892,117.06608809576429,1758500
2023-10-30,112.77009582519531,115.12128724599891,111.18328429811379,114.79231016347866,2633300
2023-10-31,113.8827896118164,113.9505190997115,112.36370762734612,113.20549473286553,2176700
2023-11-01,111.63802337646484,113.56348953224222,110.97040629563048,113.21516436747646,2423700
2023-11-02,119.02059173583984,123.64556753722584,117.81113122786397,123.36497181354011,3970200
2023-11-03,121.47821807861328,123.0940555682738,119.71724384956669,120.15264668576367,2419500
2023-11-06,124.81631469726562,125.78388302825218,121.39112191973796,121.39112191973796,2737400
2023-11-07,128.22215270996094,128.92847342107174,124.12932825201236,124.37122032222075,3485500
2023-11-08,127.65127563476562,129.20906115052165,126.57728902119048,127.93187870275212,2129100
2023-11-09,128.0286407470703,128.53176561813154,125.92900460606722,127.81577454626742,1993100
2023-11-10,129.1316680908203,129.7896074291678,128.20279605347778,128.52209535494177,2317900
2023-11-13,129.4412841796875,130.34113036332127,127.25458516732995,127.50614760679467,1877200
2023-11-14,132.10211181640625,132.48913326891997,129.69286119733056,129.82832018210257,1723200
2023-11-15,133.5341033935547,133.79535098337118,132.16015810076496,132.22789497231503,1555000
2023-11-16,134.54037475585938,135.28540647902983,133.53409545839685,133.53409545839685,1620300
2023-11-17,134.65647888183594,135.36279960873475,134.31783883432695,134.79193785362366,1447800
2023-11-20,132.58587646484375,134.4339353705415,132.10209233857228,134.22106917386847,1304500
2023-11-21,134.83065795898438,135.5950304734236,133.04065057297927,133.2922130335964,1516700
2023-11-22,135.95301818847656,137.83010307576808,135.4692340325322,136.42713197631355,1201400
2023-11-24,136.61097717285156,136.8044878893224,135.28541326290906,135.45956847855643,442400
2023-11-27,137.15281677246094,137.4237347355891,136.03043391726044,136.5239032360395,1048700
2023-11-28,139.436279296875,139.81363037306897,137.15281733828738,137.2786059516593,1299300
2023-11-29,137.72366333007812,139.04924189291444,136.79480606324864,138.99117539530755,1261100
2023-11-30,138.700927734375,138.93313468755062,135.5176196213278,137.56885978195896,1495200
2023-12-01,139.17503356933594,139.3395184238413,137.7140106165493,138.75898624863214,1259100
2023-12-04,139.14599609375,140.45221921589274,138.8363819122452,138.8363819122452,1101300
2023-12-05,136.8528594970703,138.32356741239445,136.2916681245924,138.32356741239445,1112400
2023-12-06,137.82044982910156,138.4493634043909,136.0691533292466,136.69806690453595,1174700
2023-12-07,138.99118041992188,139.09761352350205,136.89155898013175,138.13004522328978,916400
2023-12-08,136.95928955078125,138.79766333109242,136.94960441931525,138.79766333109242,1233400
2023-12-11,135.46922302246094,137.39468912164148,134.2597627308972,137.10441569888226,1546200
2023-12-12,137.72366333007812,137.78171506376495,134.79193266753245,135.38214989988205,865200
2023-12-13,140.906982421875,141.1488745074642,136.67869872630936,137.51080809129306,920800
2023-12-14,137.56886291503906,141.7971467054378,137.55919254641026,140.6070417515449,1450800
2023-12-15,137.30763244628906,138.24617495666683,136.7367706450264,137.28827694477727,1869600
2023-12-18,138.1494140625,138.98152347158543,136.862546327291,137.43340813619605,744100
2023-12-19,137.89784240722656,139.3588652692619,137.22054752959167,138.0526421193138,621400
2023-12-20,136.0401153564453,138.06232965629292,136.0207598556269,136.64000300652495,862900
2023-12-21,136.58193969726562,137.52048209451203,135.2660462675948,137.2495641616904,838300
2023-12-22,137.25924682617188,138.0042785901377,135.51762084206018,137.29794306407595,720700
2023-12-26,137.34632873535156,137.87849429770603,136.50454896830476,136.50454896830476,651300
2023-12-27,137.09475708007812,138.08168089646736,136.16588500043164,137.239886421935,808800
2023-12-28,137.45274353027344,137.69463559329697,136.39809767883153,137.05603700357403,680400
2023-12-29,137.96556091308594,138.56546330098445,137.27859568509592,137.63659123309296,771800
2024-01-02,139.99745178222656,140.35544730855253,137.01733981487163,137.30761324126124,1332900
2024-01-03,136.93026733398438,140.32642668709278,136.49486456008643,140.21999358556926,1162000
2024-01-04,137.83010864257812,138.45903692906,136.55292609653975,136.93027716286034,1034800
2024-01-05,136.70773315429688,139.08795792163812,136.24330445478716,136.7174182872364,984200
2024-01-08,137.61724853515625,137.75270751974995,136.50455078770239,136.70773188263195,994700
2024-01-09,136.74644470214844,137.48179137629063,135.94336115284884,137.23022890553935,1022700
2024-01-10,136.78512573242188,137.67528679600872,136.52389292166265,136.67869262895385,797900
2024-01-11,138.0913543701172,138.24616884752666,135.76919626465983,136.6980536012743,929800
2024-01-12,138.65252685546875,138.85570791090893,137.8204176078547,138.42030517104652,1002600
2024-01-16,138.90411376953125,138.9331396397128,137.38503909565006,138.69124754558533,1465900
2024-01-17,139.4943389892578,140.72315503108692,138.5945074347,138.82671440933552,1322500
2024-01-18,138.700927734375,138.8847533176653,137.4914673068479,138.62352049534272,1326400
2024-01-19,137.60755920410156,139.55236609290282,136.69804267690733,139.55236609290282,1269000
2024-01-22,138.11070251464844,138.30421321914284,136.58194285047816,137.7623773409904,1290600
2024-01-23,140.01345825195312,141.48686786063575,138.72543272190617,139.09623065736056,1231300
2024-01-24,136.3445587158203,138.5985886835534,135.6810411881295,138.44247654645085,1798000
2024-01-25,140.65745544433594,140.71601424103747,136.51042657891878,136.51042657891878,1280000
2024-01-26,141.17462158203125,141.66250736005446,139.63291562587918,141.17462158203125,1164500
2024-01-29,141.2039031982422,141.56493389610173,140.08175701688373,141.13559204508402,1245400
2024-01-30,142.1991729736328,142.5406989457374,139.642656472009,140.80382691025528,1316400
2024-01-31,141.73081970214844,143.50673109578312,141.1453508079828,142.80417437842132,1656300
2024-02-01,144.4532012939453,144.4629685376248,140.4622995708759,141.65274195067568,1955100
2024-02-02,152.57164001464844,155.04034084277333,149.26377505872392,154.65979053418351,4184800
2024-02-05,150.6786346435547,153.41079784676276,150.3273563047266,150.8640336125322,1869100
2024-02-06,151.02015686035156,151.7714901834467,149.29303716343685,150.75669439052936,1301000
2024-02-07,151.771484375,153.35224424434472,151.4104537039767,152.2203457919968,1479200
2024-02-08,150.48348999023438,152.2691537176748,149.34183906070865,151.69345207518694,1023700
2024-02-09,149.48818969726562,151.70319515454307,148.74660872291904,150.42493688141676,786700
2024-02-12,150.02487182617188,150.48348563361338,147.6537541694394,149.2052273193329,1073100
2024-02-13,149.35159301757812,150.82501760640224,147.92697487380417,149.82972644341592,884000
2024-02-14,148.52218627929688,149.60529323776828,147.44883167573371,149.48819053341228,866900
2024-02-15,149.10763549804688,149.73212864139688,148.06356777062797,149.2149709549863,727400
