Price,Close,High,Low,Open,Volume
Ticker,DE,DE,DE,DE,DE
Date,,,,,
2022-12-27,424.39593505859375,430.3315485640225,424.0067208293337,426.2447249189359,713800
2022-12-28,418.5868225097656,426.09877293927144,418.23653861226654,425.22303350038146,821700
2022-12-29,418.25506591796875,421.299470823734,416.07908290142876,419.3186541845208,835300
2022-12-30,418.3721618652344,419.3283997091526,414.52761642811095,416.53770508469313,760200
2023-01-03,414.01043701171875,417.78667104370726,410.01953188285773,417.63054390250835,1166300
2023-01-04,413.2200927734375,416.0302921772192,410.02929807470565,413.6591724717427,1050800
2023-01-05,404.68206787109375,413.2298132058878,402.6134055242906,412.3321193409016,1485000
2023-01-06,416.13763427734375,418.15749018367137,405.93106385921766,406.11646298752066,1042200
2023-01-09,417.82574462890625,423.75842759123736,416.13764769296023,417.5427623010773,1200300
2023-01-10,426.83209228515625,427.3395129656515,416.5474731475171,416.5474731475171,1079200
2023-01-11,422.97784423828125,429.2227818429324,419.66996140264683,429.08615940900955,1130000
2023-01-12,425.5245361328125,429.32030465015237,420.8505785064816,424.46094790569805,1205500
2023-01-13,428.9787902832031,429.59353161000007,422.7143188794245,423.3778666892006,985700
2023-01-17,427.58343505859375,434.35529722323815,427.07601440301335,429.41786197442235,1767700
2023-01-18,415.66925048828125,432.38423547321406,415.31798673866024,428.45187412562143,1390800
2023-01-19,398.7005920410156,413.0151558788563,397.9980347510584,411.9906068126813,2241000
2023-01-20,400.65216064453125,401.4523011737785,396.23191278368535,400.3984502869136,2781500
2023-01-23,399.4226379394531,403.5501655736631,397.47109329923796,401.4815330195483,1390500
2023-01-24,406.57501220703125,409.01444268621515,395.19750487873307,398.6029402986485,1319700
2023-01-25,403.6184997558594,405.34560614059774,399.32507748044804,403.1598855481772,1002000
2023-01-26,410.9953308105469,411.1026514768329,401.6864541386051,407.61913699751193,1191100
2023-01-27,408.0484619140625,412.6248364802957,407.50203179673986,410.9953133805611,1324500
2023-01-30,410.40985107421875,415.4350726562867,407.87283704128674,408.58516156775795,1376100
2023-01-31,412.5955505371094,412.79071690592247,405.97981561796155,411.59050627195677,1269800
2023-02-01,416.64501953125,419.4162093875266,408.3607219413237,411.81496434295514,1112100
2023-02-02,396.70025634765625,416.40110343818515,392.13364867349,416.28401551498246,2551300
2023-02-03,396.22210693359375,403.686759245859,395.1097419704954,396.65144913779534,2295500
2023-02-06,400.2911071777344,402.9061699637002,395.20731172639574,395.6756931807725,1378100
2023-02-07,399.5982971191406,403.39406599730455,394.97314553477105,398.31030020001407,1313100
2023-02-08,397.8126525878906,401.53034305383574,396.1830995756362,396.22213880957923,1061500
2023-02-09,398.1248474121094,402.5353272858905,397.26616306293647,401.12044560442973,1262700
2023-02-10,407.6679382324219,408.3021843039503,398.27124574229447,398.7591319170408,1357000
2023-02-13,405.26751708984375,413.1322696280915,404.1063753891047,409.2194129749201,1428400
2023-02-14,399.3934020996094,405.31634776536293,394.34867542398365,405.31634776536293,1503000
2023-02-15,400.1056823730469,403.9697323445313,395.69517251741615,396.8173344853835,1424800
2023-02-16,393.1972351074219,399.35435652440066,393.0703799318305,395.15854714618985,2122500
2023-02-17,422.8118896484375,425.8075177329521,405.4333875026041,408.84859052609175,4888700
2023-02-21,416.8206787109375,427.2711920123568,415.35702021803587,421.45559727179267,1936300
2023-02-22,416.0791015625,420.5481259329194,411.52223147359786,418.9771467043511,1356300
2023-02-23,414.7520446777344,420.9189333623065,410.1171258004309,419.5626252176176,1086900
2023-02-24,407.3069152832031,413.44450204258845,405.15043690786393,413.337181375562,1031200
2023-02-27,411.4148864746094,412.7321850572192,406.63360808051425,408.4485302952419,920200
2023-02-28,409.0827941894531,411.96133455930357,407.07270551250735,411.5710315714109,1465200
2023-03-01,409.5804138183594,413.58108611504963,406.7116409378873,408.2045713325651,1354000
2023-03-02,411.13189697265625,413.00539288953655,407.63864524392204,407.63864524392204,959800
2023-03-03,419.8553161621094,421.21165399176766,411.7856897285243,412.5272564487311,1097400
2023-03-06,415.3960266113281,421.5336428509215,415.2984434235451,419.8748179932342,1007500
2023-03-07,408.0192565917969,416.5865377758125,407.7753134717757,415.2399669887815,1181500
2023-03-08,414.01043701171875,415.7960872161804,408.1265312408561,408.63392211609704,1365900
2023-03-09,411.2099914550781,422.40210135415833,410.6830660550791,415.6985203837387,2082000
2023-03-10,386.3375244140625,409.59993276301293,385.50811199306924,408.21435275551585,2354300
2023-03-13,388.5720520019531,392.9532601619945,376.88228896219186,379.44857491206113,2000700
2023-03-14,392.6995849609375,396.49532382876805,387.6255569486275,394.5632839009144,1636600
2023-03-15,381.01959228515625,386.89373102469517,373.135335138541,385.1275854797017,1964100
2023-03-16,381.6343078613281,383.81029091255476,375.3600988247846,378.20936717685055,1621800
2023-03-17,376.16021728515625,380.5219206066727,372.1498074722313,377.8190420871907,3124500
2023-03-20,384.9421691894531,387.0693456392183,378.1019958935876,379.73154872361954,1325100
2023-03-21,392.8361511230469,394.7389189439596,390.05519422256145,391.07977296390146,1341700
2023-03-22,385.4007873535156,394.4169138959389,385.2446602117939,393.86074631517675,1202400
2023-03-23,382.35638427734375,391.001712619839,379.6242039520786,385.4300610873354,1566800
2023-03-24,377.1360168457031,379.17537750312664,372.25715504951035,377.9947012863465,1361500
2023-03-27,383.48834228515625,385.459391925213,377.2141027645216,381.32212624270437,1392700
2023-03-28,385.7716064453125,387.3133136635624,382.8833286128571,384.8641453020728,982000
2023-03-29,391.079833984375,391.9872951822518,387.00108266408955,389.96743913933057,1455000
2023-03-30,395.1517028808594,397.8924011988713,393.4681225222602,393.78132385048207,1267900
2023-03-31,404.1373291015625,404.8029230284877,397.4030073502955,397.4030073502955,1779200
2023-04-03,406.2026672363281,410.5192900277817,404.3037439256739,404.3037439256739,1632200
2023-04-04,389.2395935058594,406.0949629510907,387.35046822880815,404.724613783058,1801600
2023-04-05,365.9044494628906,385.85291214704245,362.2534206530303,385.0404704896844,3265700
2023-04-06,361.8227233886719,365.2975707156312,358.3479059330866,364.3089477206855,1848500
2023-04-10,369.3400573730469,370.5929522910403,360.70684279769347,361.47032517160557,1486500
2023-04-11,372.76593017578125,377.99288222296394,369.83925283882786,369.83925283882786,1543800
2023-04-12,376.2506408691406,380.51830449252014,374.69428248164087,375.36967427353693,2166100
2023-04-13,376.5931701660156,379.1674850319257,371.03345060842776,377.55242954509396,1627000
2023-04-14,379.55902099609375,381.5949940539479,377.04346304073897,378.48233721873385,1113200
2023-04-17,383.1317443847656,384.93277903402674,380.76297443383,381.0762056436247,1116600
2023-04-18,388.2901306152344,391.1482831741618,383.6994385147235,384.8936063294456,1402000
2023-04-19,384.453125,387.996496965258,381.86904226086796,386.8708241995691,860000
2023-04-20,382.09417724609375,384.0714231979781,377.8363116734929,382.4465698387693,1336300
2023-04-21,378.51171875,382.26060614202197,377.14133956579906,381.6537392942971,2556900
2023-04-24,379.8232727050781,384.345439560686,378.0809653479095,379.1185174891802,1132800
2023-04-25,371.43475341796875,377.55241015340096,370.6321096851511,376.8672206504842,1688400
2023-04-26,366.6776428222656,370.18185327873647,364.5046798570835,367.0593989354162,1416500
2023-04-27,363.97613525390625,366.08060333624377,358.14234576793336,364.5340727543236,2741600
2023-04-28,370.0154724121094,370.4070263691684,363.14413061349444,363.94677440554324,1999300
2023-05-01,374.02862548828125,376.47568812742406,371.39558369885395,371.90459184547257,1184100
2023-05-02,375.6730651855469,378.6878632516417,366.3154995257466,375.8786399659886,1547800
2023-05-03,374.1264953613281,381.7515505296565,374.0482025041722,377.1021317465192,1235400
2023-05-04,365.67926025390625,375.88839873063296,365.42475617273556,374.00907129368767,1382900
2023-05-05,373.0204772949219,374.62576489840023,368.0774221767904,370.0937996202216,1862600
2023-05-08,372.1982421875,381.03703159607215,370.82789302946,377.8166886711497,1106500
2023-05-09,373.3630676269531,374.57680125418284,368.40041694704126,369.74140262319787,1478700
2023-05-10,372.33526611328125,378.08096423856364,368.1948254981084,377.5328246135146,1014600
2023-05-11,364.896240234375,369.01708579934336,362.3317230912635,367.9403721476701,1825100
2023-05-12,366.0610046386719,369.50645807684754,363.4377307903486,368.155674722207,1330500
2023-05-15,362.3708190917969,366.85385461922266,362.02822434463843,366.4720985054651,1466300
2023-05-16,355.00030517578125,361.02987180226916,354.58921533271024,360.2076622447536,2181300
2023-05-17,360.27618408203125,364.83751291563595,356.39024699904576,357.27118366943546,1843900
2023-05-18,362.6742858886719,363.3007483264968,357.9563713410606,359.5616290630839,2034300
