Price,Close,High,Low,Open,Volume
Ticker,LULU,LULU,LULU,LULU,LULU
Date,,,,,
2022-12-27,315.0400085449219,318.989990234375,309.6600036621094,312.7699890136719,1287900
2022-12-28,308.9599914550781,315.82000732421875,307.6300048828125,313.989990234375,1458200
2022-12-29,316.82000732421875,318.30999755859375,310.0400085449219,310.2099914550781,936000
2022-12-30,320.3800048828125,320.4700012207031,311.29998779296875,311.8599853515625,1345700
2023-01-03,323.3800048828125,327.3399963378906,319.4599914550781,326.8800048828125,1305000
2023-01-04,320.9800109863281,326.75,317.0299987792969,326.55999755859375,1678100
2023-01-05,325.92999267578125,328.5400085449219,316.5,320.8699951171875,1787000
2023-01-06,329.260009765625,334.2300109863281,326.82000732421875,329.5,2298200
2023-01-09,298.6600036621094,304.4100036621094,289.4800109863281,293.20001220703125,8292900
2023-01-10,309.4800109863281,309.8800048828125,298.5899963378906,299.8399963378906,3140400
2023-01-11,311.9599914550781,312.4100036621094,306.8999938964844,310.760009765625,2224400
2023-01-12,314.989990234375,316.8500061035156,306.8599853515625,311.9599914550781,1587700
2023-01-13,315.4700012207031,315.739990234375,310.25,311.1700134277344,1543200
2023-01-17,323.82000732421875,324.19000244140625,313.1499938964844,314.0,1491400
2023-01-18,318.07000732421875,327.760009765625,317.1700134277344,324.8500061035156,1284100
2023-01-19,307.94000244140625,316.8399963378906,306.70001220703125,316.010009765625,1519700
2023-01-20,312.79998779296875,314.4200134277344,304.3399963378906,307.25,1537800
2023-01-23,316.0799865722656,319.1300048828125,310.0,312.5,1643400
2023-01-24,311.2099914550781,311.4200134277344,302.1099853515625,304.45001220703125,2693700
2023-01-25,309.5199890136719,310.8500061035156,304.2200012207031,305.4100036621094,1425100
2023-01-26,309.5899963378906,313.5,305.7699890136719,313.2699890136719,1708300
2023-01-27,310.8500061035156,311.69000244140625,305.17999267578125,307.80999755859375,2077500
2023-01-30,302.5899963378906,310.9599914550781,302.4100036621094,308.9800109863281,1585300
2023-01-31,306.8800048828125,307.260009765625,301.79998779296875,303.2099914550781,1667300
2023-02-01,315.7099914550781,318.69000244140625,305.25,306.8999938964844,2010200
2023-02-02,322.760009765625,328.4200134277344,316.55999755859375,318.9599914550781,2224900
2023-02-03,319.4200134277344,325.1000061035156,317.5,317.5,1191200
2023-02-06,311.32000732421875,319.3900146484375,310.19000244140625,314.4200134277344,1249300
2023-02-07,319.1000061035156,319.7799987792969,305.7799987792969,311.6600036621094,1263000
2023-02-08,309.2799987792969,315.5199890136719,307.0299987792969,314.05999755859375,1479700
2023-02-09,310.45001220703125,316.5299987792969,309.2300109863281,313.42999267578125,1150700
2023-02-10,309.3999938964844,311.5,305.7799987792969,306.9100036621094,1365000
2023-02-13,317.0799865722656,317.489990234375,309.9700012207031,311.30999755859375,1202500
2023-02-14,319.8800048828125,321.7900085449219,311.6600036621094,313.6400146484375,1005900
2023-02-15,325.2300109863281,325.2699890136719,317.6700134277344,318.05999755859375,1027000
2023-02-16,321.8299865722656,328.1600036621094,319.5799865722656,322.6099853515625,1096900
2023-02-17,320.3599853515625,322.1099853515625,315.20001220703125,318.7699890136719,840000
2023-02-21,314.1099853515625,318.3399963378906,313.79998779296875,314.8299865722656,1065500
2023-02-22,316.5199890136719,317.5400085449219,312.3500061035156,313.7699890136719,768800
2023-02-23,317.79998779296875,318.0,310.2099914550781,316.5400085449219,984000
2023-02-24,308.1000061035156,313.3299865722656,305.82000732421875,313.3299865722656,1287600
2023-02-27,310.29998779296875,313.1499938964844,307.3599853515625,311.5,1006000
2023-02-28,309.20001220703125,312.9800109863281,308.3800048828125,308.67999267578125,1032200
2023-03-01,309.489990234375,311.760009765625,303.80999755859375,309.3900146484375,1255300
2023-03-02,311.6499938964844,313.6000061035156,306.57000732421875,307.94000244140625,898300
2023-03-03,316.8299865722656,317.5899963378906,311.29998779296875,314.0,977400
2023-03-06,304.6000061035156,316.8500061035156,304.5299987792969,314.2699890136719,2401800
2023-03-07,301.80999755859375,311.3999938964844,301.5299987792969,305.7300109863281,1974900
2023-03-08,305.8699951171875,307.2699890136719,300.6499938964844,302.1099853515625,1395200
2023-03-09,301.79998779296875,309.19000244140625,300.19000244140625,305.7300109863281,1492000
2023-03-10,296.260009765625,302.9200134277344,294.2300109863281,302.8800048828125,2863300
2023-03-13,292.8999938964844,296.8299865722656,288.5299987792969,294.4100036621094,3388800
2023-03-14,295.1000061035156,296.5199890136719,291.5,296.1499938964844,2805900
2023-03-15,293.2300109863281,294.2900085449219,286.5799865722656,291.0199890136719,2055300
2023-03-16,297.3999938964844,297.5400085449219,289.1400146484375,290.42999267578125,1667700
2023-03-17,294.739990234375,297.32000732421875,289.94000244140625,294.8699951171875,2517600
2023-03-20,293.45001220703125,297.42999267578125,289.80999755859375,295.9599914550781,1621900
2023-03-21,298.80999755859375,304.75,296.4599914550781,296.5299987792969,2369300
2023-03-22,303.7300109863281,312.20001220703125,300.7799987792969,301.6199951171875,2457200
2023-03-23,308.2200012207031,312.5799865722656,304.19000244140625,308.2799987792969,1517800
2023-03-24,313.45001220703125,315.510009765625,306.5899963378906,308.05999755859375,1506500
2023-03-27,317.2200012207031,317.8699951171875,310.4100036621094,316.29998779296875,1817600
2023-03-28,320.30999755859375,321.25,314.2200012207031,319.6099853515625,5869000
2023-03-29,361.0400085449219,370.25,359.6400146484375,366.25,11502000
2023-03-30,358.0899963378906,368.1400146484375,356.5,365.0,2864900
2023-03-31,364.19000244140625,364.489990234375,357.7300109863281,360.04998779296875,2218000
2023-04-03,367.3999938964844,367.5199890136719,361.739990234375,364.19000244140625,1655600
2023-04-04,366.79998779296875,370.260009765625,364.79998779296875,366.5899963378906,1682200
2023-04-05,364.80999755859375,371.260009765625,362.760009765625,367.6400146484375,1437900
2023-04-06,364.3299865722656,365.5899963378906,359.6400146484375,362.2200012207031,1322000
2023-04-10,363.3699951171875,364.6700134277344,361.1700134277344,361.4700012207031,972200
2023-04-11,365.80999755859375,368.94000244140625,361.79998779296875,362.75,1329300
2023-04-12,363.5400085449219,370.0,363.1099853515625,370.0,1092900
2023-04-13,364.3800048828125,366.8599853515625,363.5,365.8699951171875,1202400
2023-04-14,368.25,369.1400146484375,363.8599853515625,364.0,1030800
2023-04-17,368.3800048828125,373.4100036621094,366.989990234375,369.989990234375,1820000
2023-04-18,372.5,373.5,369.5299987792969,372.1000061035156,1407000
2023-04-19,370.1199951171875,374.05999755859375,369.8500061035156,371.75,878800
2023-04-20,376.7099914550781,377.8399963378906,369.07000732421875,369.5299987792969,1403800
