Price,Close,High,Low,Open,Volume
Ticker,TYL,TYL,TYL,TYL,TYL
Date,,,,,
2022-12-27,320.8500061035156,322.2699890136719,314.1099853515625,318.760009765625,212800
2022-12-28,314.9100036621094,323.19000244140625,314.8999938964844,319.67999267578125,142100
2022-12-29,325.4700012207031,327.7799987792969,317.8800048828125,318.489990234375,124600
2022-12-30,322.4100036621094,323.80999755859375,319.2200012207031,320.2699890136719,161600
2023-01-03,319.3299865722656,331.44000244140625,317.92999267578125,327.32000732421875,314600
2023-01-04,320.67999267578125,324.8399963378906,315.8900146484375,322.6199951171875,217800
2023-01-05,306.5199890136719,317.010009765625,305.95001220703125,316.8599853515625,285300
2023-01-06,310.9100036621094,312.57000732421875,301.739990234375,309.6499938964844,208200
2023-01-09,318.989990234375,327.25,313.4100036621094,315.20001220703125,327300
2023-01-10,313.07000732421875,322.2300109863281,312.0,318.20001220703125,243000
2023-01-11,318.0899963378906,318.0899963378906,310.1499938964844,315.3800048828125,378300
2023-01-12,316.55999755859375,321.4100036621094,310.70001220703125,320.2799987792969,295600
2023-01-13,316.760009765625,317.32000732421875,309.94000244140625,312.260009765625,278700
2023-01-17,319.1199951171875,319.7699890136719,313.3299865722656,317.3900146484375,280300
2023-01-18,305.1300048828125,323.7699890136719,304.57000732421875,321.25,293900
2023-01-19,305.3399963378906,307.4700012207031,301.69000244140625,302.9800109863281,305700
2023-01-20,316.0,316.3900146484375,304.6700134277344,306.44000244140625,192100
2023-01-23,324.8999938964844,325.5199890136719,316.0,316.0,202000
2023-01-24,319.0,327.32000732421875,317.5299987792969,325.75,157200
2023-01-25,318.1499938964844,319.510009765625,305.20001220703125,312.8399963378906,168700
2023-01-26,320.8800048828125,324.42999267578125,317.8999938964844,323.4599914550781,180600
2023-01-27,327.4700012207031,327.9200134277344,319.2099914550781,319.4200134277344,188900
2023-01-30,317.3500061035156,327.0400085449219,317.2900085449219,323.25,234900
2023-01-31,322.7699890136719,322.7900085449219,315.5799865722656,317.80999755859375,164800
2023-02-01,336.4599914550781,337.45001220703125,318.8699951171875,322.4100036621094,312600
2023-02-02,345.2900085449219,347.489990234375,340.44000244140625,342.2099914550781,371900
2023-02-03,332.57000732421875,341.04998779296875,331.2699890136719,335.6400146484375,310000
2023-02-06,327.5,331.5199890136719,325.9599914550781,327.9100036621094,372200
2023-02-07,336.2799987792969,338.70001220703125,325.6499938964844,326.6499938964844,220800
2023-02-08,326.0899963378906,337.6000061035156,323.760009765625,335.2300109863281,287900
2023-02-09,327.0299987792969,334.75,326.2799987792969,331.2699890136719,306000
2023-02-10,322.5400085449219,324.5799865722656,320.1600036621094,322.2300109863281,178300
2023-02-13,325.9200134277344,327.0299987792969,322.489990234375,324.7900085449219,261600
2023-02-14,326.19000244140625,330.8800048828125,321.0199890136719,323.239990234375,320100
2023-02-15,332.7699890136719,332.7900085449219,323.5400085449219,324.5199890136719,409100
2023-02-16,339.0899963378906,344.5299987792969,314.6400146484375,324.0400085449219,726600
2023-02-17,343.6000061035156,344.7200012207031,333.07000732421875,336.2200012207031,630300
2023-02-21,333.260009765625,343.1499938964844,332.5799865722656,339.9200134277344,443600
2023-02-22,334.5899963378906,337.3999938964844,330.6000061035156,335.69000244140625,305300
2023-02-23,339.6000061035156,341.8399963378906,333.9700012207031,335.3299865722656,327200
2023-02-24,327.04998779296875,333.54998779296875,326.4100036621094,332.8500061035156,380800
2023-02-27,324.6400146484375,333.6499938964844,323.6700134277344,330.1400146484375,241200
2023-02-28,321.25,326.29998779296875,319.8399963378906,322.7200012207031,363600
2023-03-01,320.1000061035156,323.55999755859375,318.239990234375,319.75,242000
2023-03-02,321.1499938964844,323.739990234375,318.04998779296875,319.92999267578125,249700
2023-03-03,330.2300109863281,330.30999755859375,323.1099853515625,323.1099853515625,229200
2023-03-06,320.239990234375,333.3699951171875,320.05999755859375,331.3800048828125,278800
2023-03-07,318.260009765625,322.69000244140625,317.0299987792969,320.1700134277344,340400
2023-03-08,326.70001220703125,326.7200012207031,316.79998779296875,317.79998779296875,275600
2023-03-09,318.3399963378906,329.739990234375,318.2099914550781,327.760009765625,207600
2023-03-10,309.79998779296875,317.0400085449219,307.17999267578125,317.0400085449219,273000
2023-03-13,322.05999755859375,327.7799987792969,305.05999755859375,307.1600036621094,486800
2023-03-14,325.07000732421875,329.3599853515625,321.2099914550781,326.75,343600
2023-03-15,328.1099853515625,331.2900085449219,320.3299865722656,322.19000244140625,366900
2023-03-16,331.4200134277344,333.8800048828125,326.0,327.82000732421875,267500
2023-03-17,326.6099853515625,334.2900085449219,325.7300109863281,330.8599853515625,547000
2023-03-20,327.1000061035156,330.1400146484375,323.94000244140625,326.6600036621094,220600
2023-03-21,329.57000732421875,330.7099914550781,325.0,327.489990234375,200400
2023-03-22,320.7099914550781,330.2799987792969,320.3399963378906,328.4700012207031,148300
2023-03-23,322.54998779296875,326.8399963378906,319.17999267578125,322.6000061035156,237700
2023-03-24,329.4800109863281,329.80999755859375,319.6300048828125,323.4100036621094,179100
2023-03-27,332.25,333.7699890136719,329.6300048828125,330.0,262600
2023-03-28,330.989990234375,332.82000732421875,327.25,332.2200012207031,139500
2023-03-29,341.04998779296875,341.45001220703125,333.0899963378906,334.8599853515625,218000
2023-03-30,344.1000061035156,345.9100036621094,341.989990234375,344.0799865722656,175500
2023-03-31,354.6400146484375,356.5400085449219,345.92999267578125,345.92999267578125,392700
2023-04-03,354.010009765625,355.19000244140625,349.1499938964844,351.2699890136719,289900
2023-04-04,359.2200012207031,359.45001220703125,353.510009765625,355.8399963378906,231900
2023-04-05,347.7200012207031,359.0,346.45001220703125,359.0,201900
2023-04-06,352.79998779296875,352.9100036621094,342.5899963378906,344.82000732421875,170900
2023-04-10,351.95001220703125,351.9800109863281,345.29998779296875,348.489990234375,138700
2023-04-11,357.4800109863281,358.42999267578125,349.8900146484375,353.0799865722656,263900
2023-04-12,359.010009765625,365.989990234375,358.45001220703125,360.510009765625,352300
2023-04-13,363.4599914550781,365.6700134277344,359.79998779296875,359.79998779296875,193300
2023-04-14,364.3699951171875,366.010009765625,358.05999755859375,360.9700012207031,175400
2023-04-17,362.6000061035156,365.92999267578125,361.1600036621094,364.8800048828125,189700
2023-04-18,375.0,377.95001220703125,371.1499938964844,371.6600036621094,339500
2023-04-19,377.9700012207031,378.5199890136719,371.79998779296875,371.80999755859375,196400
2023-04-20,375.05999755859375,375.8800048828125,371.82000732421875,375.0,234900
2023-04-21,373.3900146484375,379.20001220703125,373.29998779296875,377.20001220703125,248300
2023-04-24,372.0299987792969,376.2699890136719,369.32000732421875,373.0199890136719,205600
2023-04-25,364.010009765625,370.30999755859375,364.0,370.30999755859375,228300
2023-04-26,367.0799865722656,372.44000244140625,364.989990234375,366.3500061035156,280600
2023-04-27,386.20001220703125,389.7300109863281,367.6199951171875,367.6199951171875,423400
2023-04-28,379.0299987792969,382.3399963378906,372.6600036621094,381.55999755859375,299100
2023-05-01,381.82000732421875,383.19000244140625,376.6600036621094,376.9200134277344,287700
2023-05-02,379.1600036621094,385.6000061035156,377.1400146484375,381.989990234375,242100
2023-05-03,382.30999755859375,387.9599914550781,378.760009765625,380.8599853515625,305000
2023-05-04,385.5899963378906,386.3699951171875,377.8599853515625,382.3299865722656,236300
2023-05-05,389.739990234375,390.25,385.7099914550781,386.2799987792969,250000
2023-05-08,387.2799987792969,389.6000061035156,383.95001220703125,387.260009765625,164400
2023-05-09,387.8399963378906,389.5899963378906,385.7300109863281,385.7300109863281,218500
2023-05-10,394.010009765625,394.260009765625,387.75,391.9700012207031,213400
2023-05-11,388.6199951171875,393.92999267578125,387.3299865722656,393.92999267578125,249700
2023-05-12,390.67999267578125,390.989990234375,385.82000732421875,388.30999755859375,145400
2023-05-15,393.7300109863281,394.07000732421875,387.29998779296875,389.760009765625,184600
2023-05-16,386.8699951171875,392.44000244140625,386.19000244140625,390.7900085449219,254800
2023-05-17,395.1300048828125,395.29998779296875,385.760009765625,387.8699951171875,351300
2023-05-18,399.7699890136719,401.510009765625,393.989990234375,395.0,294900
2023-05-19,394.0400085449219,400.0,392.4800109863281,399.7699890136719,224500
2023-05-22,397.9700012207031,401.1300048828125,392.4800109863281,392.9599914550781,270200
2023-05-23,390.1099853515625,398.5199890136719,389.7099914550781,397.05999755859375,293200
2023-05-24,385.0899963378906,388.8999938964844,382.9200134277344,386.20001220703125,188700
2023-05-25,387.2799987792969,390.3900146484375,384.0,390.17999267578125,216300
2023-05-26,393.6000061035156,395.80999755859375,389.7300109863281,389.7300109863281,180600
2023-05-30,397.25,397.9700012207031,391.7900085449219,396.260009765625,202100
2023-05-31,396.9599914550781,399.8500061035156,390.07000732421875,394.760009765625,380600
2023-06-01,398.9800109863281,401.3699951171875,390.8599853515625,391.7200012207031,211400
2023-06-02,397.69000244140625,401.8800048828125,394.5799865722656,400.0,262900
2023-06-05,398.2200012207031,399.1199951171875,393.0400085449219,395.3900146484375,213600
2023-06-06,394.0799865722656,398.17999267578125,389.57000732421875,398.17999267578125,225200
2023-06-07,388.32000732421875,395.3900146484375,387.19000244140625,393.0,267400
2023-06-08,389.4700012207031,390.7200012207031,385.010009765625,386.75,182600
2023-06-09,388.6700134277344,394.57000732421875,385.4100036621094,391.0,140200
2023-06-12,393.5199890136719,394.54998779296875,390.1300048828125,391.8800048828125,203900
2023-06-13,389.8699951171875,395.79998779296875,387.9700012207031,395.79998779296875,244500
2023-06-14,392.1000061035156,393.1700134277344,386.17999267578125,388.4200134277344,311100
2023-06-15,394.6000061035156,398.0899963378906,387.0,390.07000732421875,295800
2023-06-16,393.79998779296875,399.739990234375,390.760009765625,398.989990234375,777200
2023-06-20,391.6600036621094,394.54998779296875,387.7099914550781,391.5899963378906,241800
2023-06-21,392.19000244140625,394.32000732421875,388.7300109863281,392.19000244140625,256400
2023-06-22,399.25,399.2900085449219,391.32000732421875,392.17999267578125,275100
2023-06-23,396.92999267578125,402.9599914550781,396.7900085449219,397.19000244140625,417300
2023-06-26,402.04998779296875,405.5799865722656,396.1499938964844,397.25,489800
2023-06-27,407.739990234375,412.75,404.4700012207031,404.4700012207031,275300
2023-06-28,408.8900146484375,413.42999267578125,407.3599853515625,407.92999267578125,210400
2023-06-29,411.7300109863281,413.1000061035156,408.3699951171875,409.8500061035156,217200
2023-06-30,416.4700012207031,418.9100036621094,412.1600036621094,415.42999267578125,203200
2023-07-03,412.30999755859375,416.17999267578125,410.1300048828125,414.989990234375,91300
2023-07-05,412.32000732421875,413.2300109863281,409.07000732421875,409.82000732421875,138000
2023-07-06,410.4800109863281,411.8699951171875,404.29998779296875,408.2099914550781,137600
2023-07-07,406.4800109863281,412.25,406.45001220703125,410.3800048828125,192500
2023-07-10,413.1199951171875,413.2799987792969,407.5,407.5,159100
2023-07-11,412.9599914550781,416.260009765625,409.7300109863281,414.1000061035156,162400
2023-07-12,417.3299865722656,419.07000732421875,411.3399963378906,418.2200012207031,258500
2023-07-13,420.6499938964844,423.3599853515625,417.9599914550781,419.4700012207031,157900
2023-07-14,410.9800109863281,420.3900146484375,410.4599914550781,419.3999938964844,223000
2023-07-17,421.75,422.9100036621094,412.6300048828125,412.6300048828125,259900
2023-07-18,422.1300048828125,422.45001220703125,415.17999267578125,419.1199951171875,136300
2023-07-19,417.6400146484375,426.8299865722656,415.5899963378906,423.010009765625,219500
2023-07-20,404.1400146484375,416.17999267578125,402.8999938964844,414.80999755859375,261500
2023-07-21,403.3299865722656,407.04998779296875,401.3500061035156,407.04998779296875,278200
2023-07-24,402.70001220703125,403.5400085449219,397.17999267578125,402.760009765625,173500
2023-07-25,408.0799865722656,409.04998779296875,403.7799987792969,403.92999267578125,157600
2023-07-26,408.4200134277344,410.7900085449219,403.2799987792969,406.9800109863281,213200
2023-07-27,383.3900146484375,414.55999755859375,382.75,411.95001220703125,555600
2023-07-28,390.6700134277344,395.3500061035156,385.739990234375,389.010009765625,276200
2023-07-31,396.6300048828125,397.260009765625,390.2699890136719,391.1099853515625,209700
2023-08-01,398.2799987792969,400.6000061035156,391.70001220703125,396.92999267578125,213700
2023-08-02,388.1300048828125,394.3500061035156,384.9200134277344,392.45001220703125,203200
2023-08-03,382.6099853515625,388.4100036621094,378.6700134277344,385.5299987792969,222300
2023-08-04,381.9200134277344,386.30999755859375,380.29998779296875,385.0,133200
